Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Right Around the Corner (V2)	QT6F32552905	199951736134	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Growth	QT6F32551274	199951745433	4	100	Song	US	0	0.00364890	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Dark Reflection	QT6F32551273	199951745433	1	100	Song	BY	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Dark Reflection	QT6F32551273	199951745433	1	100	Song	PT	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Dark Reflection	QT6F32551273	199951745433	18	100	Song	US	0	0.01642004	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Dissociate	QT6F32551269	199951745433	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Endless Time	QT6F32549285	199951749530	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Vault of Invisible Chains (kers)	QT6ET2525479	199955856241	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	New Name	QT6EC2598814	199751585130	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	They Gonna	QZZ7V2513280	199737642468	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Trumpty Dumpty Shat on a Wall (Constipation)	QZWFJ2574896	199511957290	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Fam? Pssht! (Diss is a Diss)	QZTBB2547082	199516654231	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	I'm Not Your "Jesus" (Eleven)	QZTBB2532575	199516730263	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Recursive Resurrection	QZTB72550787	199518656486	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Sweet Release (feat. Ian Moore (Piano) & Shelby Preklas (Drums))	QZDA52512314	199087021630	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Neverland (feat. Ian Moore (Piano))	QZDA52512308	199087021630	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2023-01	Musixmatch	Siren Sinfull	Just Love	QZK6G2120802	196323802084	1	100	Song	US	0	0.00062609	0.00000000
2026-02-19	2026-02-19	2022-07	Musixmatch	Siren Sinfull	Just Love	QZK6G2120802	196323802084	3	100	Song	US	0	0.00103931	0.00000000
2026-02-19	2026-02-19	2022-04	Musixmatch	Siren Sinfull	Just Love	QZK6G2120802	196323802084	1	100	Song	US	0	0.00039622	0.00000000
2026-02-19	2026-02-19	2021-10	Musixmatch	Siren Sinfull	Just Love	QZK6G2120802	196323802084	1	100	Song	US	0	0.00034644	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	The Evolution Will Not Be Televised (V8)	QT6G92598618	199938353361	1	100	Song	US	0	0.00574848	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	The Evolution Will Not Be Televised (V7)	QT6G92598617	199938353361	1	100	Song	US	0	0.00574848	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	The Evolution Will Not Be Televised (V6)	QT6G92598616	199938353361	1	100	Song	US	0	0.00574848	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	The Evolution Will Not Be Televised (V4)	QT6G92598614	199938353361	1	100	Song	US	0	0.00574848	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	The Evolution Will Not Be Televised (V3)	QT6G92598613	199938353361	1	100	Song	US	0	0.00574848	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	The Evolution Will Not Be Televised (V2)	QT6G92598612	199938353361	2	100	Song	US	0	0.01149695	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	The Tithe in Red (Get in the Sack)	QT6G62543853	199939922382	1	100	Song	US	0	0.00574848	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	The Soft Machine (Get in the Sack)	QT6G62543851	199939922382	1	100	Song	US	0	0.00574848	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	Tithes and Tributes (Get in the Sack)	QT6G62543850	199939922382	1	100	Song	US	0	0.00574848	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	The Stock-King Ledger (Get in the Sack)	QT6G62543847	199939922382	1	100	Song	US	0	0.00574848	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	And on the 13th Day... (Descent)	QT6G62543844	199939922382	1	100	Song	US	0	0.00574848	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	The Fire Beneath the Hearth (Descent)	QT6G62543843	199939922382	1	100	Song	US	0	0.00574848	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	The Tithe In Red (Descent)	QT6G62543840	199939922382	1	100	Song	US	0	0.00574848	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	Gift Receipt (Descent)	QT6G62543835	199939922382	1	100	Song	US	0	0.00574848	0.00000000
2026-02-11	2026-02-11	2025-12	Pandora	Siren Sinfull	My Scars (D8)	QT6G22541613	199941757774	1	100	Song	US	0	0.00574848	0.00000000
